product_id,category,sub_category,brand,cost,price
1,Books,SubD,Brand_37,14.34,19.39
2,Sports,SubB,Brand_8,19.26,25.99
3,Beauty,SubB,Brand_7,17.34,26.95
4,Books,SubD,Brand_14,11.48,14.26
5,Home,SubA,Brand_3,7.91,9.62
6,Grocery,SubA,Brand_50,173.54,235.43
7,Beauty,SubB,Brand_16,14.1,21.47
8,Beauty,SubA,Brand_19,166.03,289.65
9,Books,SubD,Brand_18,7.16,12.23
10,Fashion,SubA,Brand_16,36.13,53.99
11,Home,SubB,Brand_8,24.59,30.05
12,Books,SubD,Brand_33,8.72,13.26
13,Home,SubA,Brand_49,13.13,21.31
14,Home,SubC,Brand_12,19.73,27.69
15,Grocery,SubD,Brand_11,9.36,11.86
16,Beauty,SubD,Brand_5,15.88,21.71
17,Sports,SubC,Brand_27,2.38,3.96
18,Grocery,SubC,Brand_12,37.94,53.52
19,Grocery,SubD,Brand_17,60.35,101.82
20,Home,SubC,Brand_6,30.1,41.89
21,Toys,SubB,Brand_33,153.48,199.24
22,Beauty,SubB,Brand_5,36.95,54.0
23,Fashion,SubB,Brand_28,55.94,82.31
24,Grocery,SubD,Brand_14,60.96,73.74
25,Sports,SubC,Brand_5,1.68,2.13
26,Toys,SubC,Brand_33,29.28,38.38
27,Toys,SubA,Brand_50,5.76,7.3
28,Fashion,SubA,Brand_48,6.91,9.71
29,Grocery,SubC,Brand_41,8.08,14.37
30,Sports,SubC,Brand_19,15.09,22.72
31,Beauty,SubC,Brand_22,35.91,56.61
32,Electronics,SubD,Brand_5,29.56,41.79
33,Sports,SubC,Brand_2,19.77,27.56
34,Fashion,SubA,Brand_30,38.33,46.53
35,Toys,SubD,Brand_47,40.48,60.73
36,Beauty,SubC,Brand_39,29.79,44.39
37,Sports,SubA,Brand_4,4.24,5.49
38,Electronics,SubD,Brand_33,10.28,17.05
39,Electronics,SubC,Brand_13,20.48,30.63
40,Home,SubC,Brand_20,38.7,54.31
41,Home,SubC,Brand_7,6.05,7.79
42,Books,SubD,Brand_15,19.8,30.32
43,Fashion,SubA,Brand_23,4.89,8.08
44,Grocery,SubA,Brand_14,50.35,68.94
45,Sports,SubB,Brand_23,24.87,33.11
46,Sports,SubC,Brand_19,5.95,9.0
47,Grocery,SubB,Brand_29,5.92,7.66
48,Books,SubB,Brand_20,28.34,45.34
49,Toys,SubA,Brand_29,68.93,107.75
50,Toys,SubD,Brand_24,7.45,9.33
51,Books,SubD,Brand_18,40.6,49.61
52,Toys,SubA,Brand_10,12.28,19.31
53,Home,SubD,Brand_41,41.96,57.76
54,Sports,SubB,Brand_8,36.99,46.31
55,Books,SubC,Brand_26,23.0,38.08
56,Sports,SubA,Brand_29,3.84,5.33
57,Grocery,SubC,Brand_10,36.92,54.49
58,Electronics,SubD,Brand_17,31.42,42.17
59,Home,SubC,Brand_2,28.94,45.62
60,Beauty,SubD,Brand_6,23.85,32.93
61,Home,SubD,Brand_5,9.07,16.15
62,Books,SubB,Brand_28,53.01,85.97
63,Beauty,SubD,Brand_41,44.88,57.54
64,Electronics,SubB,Brand_5,7.6,11.02
65,Books,SubB,Brand_18,65.27,93.42
66,Fashion,SubB,Brand_26,22.52,34.24
67,Sports,SubA,Brand_20,22.46,38.3
68,Electronics,SubA,Brand_41,17.06,26.44
69,Sports,SubD,Brand_49,18.64,23.06
70,Toys,SubB,Brand_27,68.69,109.44
71,Fashion,SubA,Brand_49,50.68,61.07
72,Fashion,SubB,Brand_12,49.72,82.93
73,Electronics,SubC,Brand_7,23.61,37.78
74,Fashion,SubC,Brand_3,44.52,61.67
75,Beauty,SubC,Brand_10,9.44,12.98
76,Fashion,SubD,Brand_34,33.81,56.77
77,Sports,SubB,Brand_25,17.42,29.09
78,Sports,SubC,Brand_35,3.13,4.42
79,Books,SubA,Brand_16,4.8,6.62
80,Sports,SubC,Brand_2,11.01,16.91
81,Books,SubC,Brand_24,29.06,35.02
82,Sports,SubC,Brand_10,11.02,13.77
83,Beauty,SubD,Brand_38,11.75,14.99
84,Grocery,SubA,Brand_22,39.75,52.12
85,Books,SubB,Brand_26,12.14,18.3
86,Home,SubA,Brand_43,66.25,118.94
87,Toys,SubB,Brand_39,57.07,90.83
88,Electronics,SubD,Brand_27,20.4,25.23
89,Sports,SubD,Brand_29,39.4,59.7
90,Fashion,SubD,Brand_47,34.86,52.22
91,Grocery,SubD,Brand_38,16.03,20.62
92,Sports,SubB,Brand_20,43.43,76.1
93,Fashion,SubC,Brand_27,49.59,72.62
94,Toys,SubB,Brand_41,8.49,15.25
95,Toys,SubA,Brand_20,22.96,33.34
96,Toys,SubD,Brand_44,22.74,35.58
97,Fashion,SubD,Brand_19,42.97,54.26
98,Sports,SubA,Brand_20,13.41,19.75
99,Toys,SubB,Brand_35,11.68,15.69
100,Beauty,SubC,Brand_47,23.29,39.62
101,Books,SubC,Brand_2,57.91,96.73
102,Fashion,SubA,Brand_30,6.8,11.52
103,Fashion,SubC,Brand_34,7.95,12.99
104,Sports,SubB,Brand_22,12.52,21.28
105,Fashion,SubB,Brand_3,14.69,19.4
106,Fashion,SubA,Brand_6,4.08,6.0
107,Toys,SubB,Brand_15,77.02,124.4
108,Sports,SubD,Brand_27,17.79,28.15
109,Toys,SubA,Brand_10,15.54,25.33
110,Books,SubB,Brand_9,86.15,114.97
111,Grocery,SubA,Brand_33,38.16,48.05
112,Books,SubC,Brand_32,12.35,21.61
113,Grocery,SubB,Brand_48,23.19,35.62
114,Toys,SubD,Brand_6,19.26,24.89
115,Books,SubB,Brand_41,73.64,123.43
116,Sports,SubA,Brand_36,17.2,30.08
117,Electronics,SubA,Brand_2,5.46,7.11
118,Toys,SubB,Brand_29,3.69,6.24
119,Grocery,SubD,Brand_4,75.44,132.77
120,Beauty,SubD,Brand_1,9.84,17.35
121,Grocery,SubD,Brand_19,36.56,63.92
122,Beauty,SubA,Brand_26,21.33,32.59
123,Fashion,SubB,Brand_25,13.75,19.44
124,Books,SubC,Brand_10,15.83,19.07
125,Beauty,SubA,Brand_15,83.16,102.83
126,Grocery,SubD,Brand_22,5.43,7.91
127,Fashion,SubB,Brand_48,14.12,20.33
128,Electronics,SubD,Brand_21,45.22,59.28
129,Sports,SubC,Brand_22,6.3,9.05
130,Sports,SubD,Brand_36,65.45,85.4
131,Sports,SubD,Brand_34,44.65,76.32
132,Beauty,SubC,Brand_30,25.54,35.22
133,Electronics,SubB,Brand_25,12.72,19.83
134,Beauty,SubA,Brand_45,5.61,8.42
135,Books,SubB,Brand_28,37.79,46.52
136,Beauty,SubC,Brand_1,237.34,418.99
137,Electronics,SubD,Brand_49,22.81,34.59
138,Electronics,SubB,Brand_45,3.87,5.4
139,Books,SubA,Brand_4,30.19,39.09
140,Electronics,SubC,Brand_7,43.38,60.87
