return_id,order_id,return_date,reason,refund_amount
1,4942,2023-01-04,Changed Mind,248.71
2,51776,2024-03-28,Defective,39.74
3,115254,2024-06-26,Defective,22.07
4,299322,2023-05-17,Size Issue,17.79
5,173571,2024-12-17,Wrong Item,25.75
6,30863,2024-04-12,Late Delivery,6.29
7,244472,2023-08-01,Size Issue,4.69
8,127795,2023-04-16,Other,226.23
9,71559,2023-09-16,Late Delivery,5.83
10,218012,2025-07-01,Other,2.49
11,148209,2024-10-24,Changed Mind,175.94
12,155736,2024-01-21,Changed Mind,21.02
13,100699,2023-08-03,Size Issue,37.67
14,241404,2023-07-28,Late Delivery,24.83
15,195273,2023-01-14,Size Issue,52.43
16,238664,2024-10-06,Late Delivery,60.45
17,262958,2024-01-11,Changed Mind,83.97
18,207083,2023-02-08,Defective,26.53
19,298897,2023-03-03,Defective,30.39
20,220947,2023-10-29,Size Issue,27.32
21,74582,2023-09-18,Wrong Item,20.21
22,253579,2024-07-26,Other,94.24
23,47621,2023-04-01,Changed Mind,200.95
24,92773,2024-08-30,Size Issue,41.57
25,116905,2024-05-03,Defective,6.14
26,208353,2025-01-09,Size Issue,41.56
27,76045,2024-01-06,Other,4.61
28,202668,2023-11-11,Other,314.87
29,62135,2025-04-13,Changed Mind,189.64
30,277354,2025-08-08,Wrong Item,83.62
31,64195,2024-11-30,Late Delivery,4.63
32,295823,2023-09-18,Changed Mind,24.78
33,27392,2025-01-22,Other,27.31
34,203501,2024-10-30,Defective,41.26
35,264506,2023-03-12,Defective,57.61
36,297456,2023-12-23,Changed Mind,71.88
37,137986,2024-09-26,Late Delivery,8.42
38,47623,2023-05-11,Defective,33.31
39,21912,2023-02-26,Wrong Item,27.13
40,94182,2023-06-28,Wrong Item,14.64
41,68118,2024-09-21,Changed Mind,28.39
42,39649,2025-05-23,Late Delivery,47.87
43,73723,2025-07-19,Other,13.36
44,133457,2023-10-03,Other,57.34
45,30764,2023-04-18,Changed Mind,9.71
46,58097,2024-05-01,Size Issue,8.93
47,126980,2023-10-22,Wrong Item,84.51
48,149637,2023-11-17,Wrong Item,72.91
49,27811,2025-01-18,Changed Mind,27.59
50,272002,2024-09-15,Wrong Item,13.77
51,114618,2023-08-03,Late Delivery,118.96
52,190694,2023-10-23,Defective,12.85
53,219815,2025-02-15,Changed Mind,30.58
54,67165,2023-01-25,Size Issue,92.72
55,83962,2023-02-13,Wrong Item,39.7
56,254123,2024-10-06,Size Issue,42.28
57,141379,2025-02-21,Defective,88.75
58,151755,2024-05-07,Other,10.55
59,125014,2023-09-16,Changed Mind,10.46
60,273553,2025-04-04,Changed Mind,161.28
61,201854,2024-11-14,Late Delivery,200.19
62,99512,2023-12-27,Other,45.98
63,25141,2024-01-09,Defective,155.64
64,7604,2023-10-13,Defective,180.44
65,84096,2024-03-21,Other,12.56
66,84072,2023-12-18,Late Delivery,8.27
67,151178,2024-07-29,Late Delivery,16.02
68,294082,2023-02-28,Changed Mind,28.32
69,88695,2024-11-16,Late Delivery,70.38
70,99933,2025-02-18,Changed Mind,130.86
71,14443,2024-05-05,Wrong Item,38.0
72,162221,2023-08-19,Defective,16.64
73,163632,2024-06-23,Changed Mind,28.92
74,49024,2025-06-04,Late Delivery,24.87
75,80645,2023-05-17,Defective,66.7
76,274017,2025-02-16,Defective,7.29
77,64877,2024-11-15,Wrong Item,96.05
78,156697,2023-07-24,Changed Mind,63.48
79,295992,2023-01-09,Defective,72.0
80,192038,2023-01-28,Changed Mind,48.36
81,118766,2025-05-04,Defective,223.73
82,94749,2023-08-21,Defective,45.63
83,251765,2024-02-16,Other,16.16
84,60382,2024-02-27,Defective,5.82
